cliente,obra,tipo,material,cantidad
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,ALINEADORES DE 6 MTROS,80
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,"FORMALETA DE 60*1,20",220
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,ALINEADORES DE 3 MTROS,16
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,"FORAMLETA DE 50*1,20",100
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,"FORMALETA DE 20*1,20",120
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,"FORMALETA DE 30 1,20",92
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,"FORMALETA DE 25*1,20",4
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,TENSORES,240
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,CHAPETAS,3000
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,CAJA METALICA,10
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,"RINCONERAS 10*10*1,20",4
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,"ANGULOS DE 1,20",16
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,PARALES DE 4 MTROS,160
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,PARALES DE 1 MTRO,80
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,PINES,1400
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,crorbatas de 30,400
SEGUIMIENTO CONSORCIO VICTORIA,CRA 13 CON CALLE 69 VICTORIA,seguimiento,corbatas de 25,300
