cliente,tipo,remito,fecha,material,cantidad,signo
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13342,2026-02-03,ALINEADORES DE 6 MTROS,12,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13342,2026-02-03,"FORMALETA DE 60*1,20",62,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13342,2026-02-03,ALINEADORES DE 3 MTROS,8,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13351,2026-02-04,ALINEADORES DE 6 MTROS,20,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13351,2026-02-04,"FORMALETA DE 60*1,20",38,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13351,2026-02-04,"FORAMLETA DE 50*1,20",21,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13351,2026-02-04,"FORMALETA DE 20*1,20",5,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13351,2026-02-04,TENSORES,120,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13351,2026-02-04,CHAPETAS,150,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13351,2026-02-04,CAJA METALICA,1,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13351,2026-02-04,"RINCONERAS 10*10*1,20",2,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13351,2026-02-04,"ANGULOS DE 1,20",8,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13365,2026-02-07,ALINEADORES DE 6 MTROS,8,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13365,2026-02-07,"FORAMLETA DE 50*1,20",29,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13365,2026-02-07,"FORMALETA DE 20*1,20",10,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13365,2026-02-07,"FORMALETA DE 30 1,20",6,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13365,2026-02-07,CHAPETAS,352,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13365,2026-02-07,CAJA METALICA,2,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13365,2026-02-07,PARALES DE 4 MTROS,40,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13365,2026-02-07,PINES,130,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13365,2026-02-07,crorbatas de 30,41,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13365,2026-02-07,corbatas de 25,24,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13374,2026-02-10,"FORMALETA DE 60*1,20",10,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13374,2026-02-10,"FORMALETA DE 20*1,20",45,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13374,2026-02-10,"FORMALETA DE 30 1,20",2,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13374,2026-02-10,"FORMALETA DE 25*1,20",2,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13374,2026-02-10,CHAPETAS,768,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13374,2026-02-10,CAJA METALICA,2,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13374,2026-02-10,PARALES DE 4 MTROS,40,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13374,2026-02-10,PARALES DE 1 MTRO,40,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13374,2026-02-10,PINES,270,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13374,2026-02-10,crorbatas de 30,59,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13374,2026-02-10,corbatas de 25,76,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13384,2026-02-12,"FORMALETA DE 30 1,20",38,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13384,2026-02-12,CHAPETAS,230,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13384,2026-02-12,PINES,300,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13384,2026-02-12,crorbatas de 30,100,1
SEGUIMIENTO CONSORCIO VICTORIA,seguimiento,13384,2026-02-12,corbatas de 25,50,1
